T27062;2026-09-23;18:21:33
Código de Integração;DESCRIÇÃO LOCAL;RAZÃO SOCIAL LOCAL;ATIVO LOCAL;PAÍS;ESTADO;CIDADE;BAIRRO;TIPO LOGRADOURO;LOGRADOURO;NÚMERO LOGRADOURO;COMPLEMENTO LOGRADOURO;CEP;NÚMERO TELEFONE CELULAR;NUMERO TELEFONE FIXO;E-MAIL;OBSERVAÇÃO;IDENTIFICADOR PESSOA RESPONSÁVEL;Transportadora;Títulos Vencidos;Forma de Pagamento Sugerida;Prazo de Pagamento Sugerido;Títulos A Vencer;Notas Fiscais;Contato;Formas de Pagamentos Disponíveis;Prazos de Pagamentos Disponíveis;Tipo de Frete;Entregas Realizadas;Pedidos
213365200700;ABC PNEUS RECREIO;ABC PNEUS RECREIO;1;Brasil;RIO  DE JANEIRO;RIO DE JANEIRO;RECREIO DOS BANDEIRANTES;AVENIDA;DAS AMÉRICAS;14403;;22790701;2133652007;;;;;;;;;;;;;;;;
2733318197;GW LIDER Niterói | 0101;GW LIDER Niterói | 0101;1;Brasil;RIO DE JANEIRO;NITERÓI;CENTRO;RUA;RUA MARQUES DE PARANA;154;ANEXO 158/166;24030211;;2733318197;diego.cassani@grupolider.com.br;;;;;;;;;2733318197;;;;;
615169698419419;SOLUÇÃO;SOLUÇÃO;1;Brasil;RIO DE JANEIRO;;;RUO;RUA MARTINIANO DE ALENCAR;;;25225320;;;;;;;;;;;;;;;;;
49686473000183;ROLICAR GNV - RETESTE ROLICAR AUTO CENTER LTDA;ROLICAR GNV - RETESTE ROLICAR AUTO CENTER LTDA;1;Brasil;RIO  DE JANEIRO;MAGÉ;VILA CARVALHO;RUA;AVENIDA JOSÉ ULLMAN;541;(VILA INHOMIRIM);25935730;;;;;;;;;;;;;;;;;
42717;FERRARI - E SIFLONIO;FERRARI - E SOFLONIO DE SALLES COMERCIO DE PEÇAS;1;Brasil;;RIO DE JANEIRO;MADUREIRA;;RUA DONA CLARA;48;;21310030;;;;;;;;;;;;;;;;;
14137991000163;BETO CENTRO AUTOMOTIVO (ENG. PEDREIRA);BETO CENTRO AUTOMOTIVO (ENG. PEDREIRA);1;Brasil;RIO  DE JANEIRO;JAPERI;CIDADE JARDIM MARAJOARA;ESTRADA;ESTRADA DOS ALHOS;0;LT13 QD45;26420360;21970322305;;;;;;;;;;;;;;;;
230145796;MARLO DEUS E EU;MARLO DEUS E EU;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
53118988000154;AUTOCENTER BOSQUE - LAVA-JATO;AUTOCENTER BOSQUE - LAVA JATO DO BOSQUE LTDA;1;Brasil;RIO  DE JANEIRO;RIO DE JANEIRO;ANIL;RUA;TENENTE CORONEL MUNIZ DE ARAGÃO;235;;22765003;;;;;;;;;;;;;;;;;
21980001474;ISB PNEUS AUTO CENTER (0101);ISB PNEUS AUTO CENTER (0101);1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;BANGU;RUA;AV MINISTRO ARY FRANCO;1036;LOJA;21862005;21980001474;;isbpneus2024@gmail.com;;;;;;;;;;;;;;
21965752701;ANTONIO CARLOS DA SILVA LIMA;ANTONIO CARLOS DA SILVA LIMA;1;Brasil;RIO DE JANEIRO;NOVA  IGUAÇU;CAIOBA;RUA;rua doutor joão silva pinto;90;casa;26015250;21965752701;;toinho.carlos3074@gmail.com;;;;;;;;;;;;;;
3212130;RONALDO  CARVALHO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
9514;AUTO CENTER DOS  AMIGOS;;1;Brasil;;RIO DE JANEIRO;CAMPO GRANDE;;ESTRADA CACHAMORRA;305;LOTE 32;;;;;;;;;;;;;;;;;;
31.967.252/0001-18;AUTO CONFORTO | RAMOS;JESSICA DE S. GONCALVES AUTO CENTER;1;Brasil;Rio de Janeiro;Rio de Janeiro;Ramos;Rua;Cardoso de Moaes;495;loja;21032025;21982225262;;;;;;;;;;;;;;;;
2546987031;CAPS FREGUESIA (PRAÇA SECA);CAPS FREGUESIA;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;;LOJA;ESTRADA DO MONTEIRO;;;23036340;;;;;;;;;;;;;;;;;
213654066;CAPS RECREIO RIO AMERICAS;CAPS RECREIO RIO AMERICAS;1;Brasil;RIO DE JANEIRO;DUQUE DE CAXIAS;;RUO;RUA MARTINIANO DE ALENCAR;29;;25225320;;;;;;;;;;;;;;;;;
254698731;CAPS MARACANÃ;CAPS MARACANÃ;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
21992012741HJ;SÃO LOURENÇO PNEUS GOODYEAR SÃO GONÇALO;SÃO LOURENÇO PNEUS GOODYEAR SÃO GONÇALO;1;Brasil;RIO  DE JANEIRO;SÃO GONÇALO;TRINDADE;RUA;DR. NILO PEÇANHA;1146;;24445300;2140404890;;;;;;;;;;;;;;;;
2134887443;P&B AUTO PEÇAS | 0105;P&B AUTO PEÇAS | 0105;1;Brasil;rio de Janeiro;são joão de meriti;jardim sumaré;loja;rua miguel couto;1083;loja b e c;;2134887443;;dimas@fst.com.br;;;;;;;;;;;;;;
32654781234;TRANSCOFAB;TRANSCOFAB;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
32323;SILVA & BRITO AUTO CENTER LTDA (MANU PNEUS);;1;Brasil;RIO DE JANEIRO;SÃO JOÃO DE MERITI;VILAR DOS TELES;RUA;PRESIDENTE LINCOLN;;SN,LOJA A,LOTE 27,QUADRA 12;25555201;;;;;;;;;;;;;;;;;
2564790;MOOV CENTRO AUTOMOTIVO BOTAFOGO;MOOV CENTRO AUTOMOTIVO;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;BOTAFOGO;RUA;DA PASSAGEM;180;LOJA;22290031;;;;;;;;;;;;;;;;;
0001;ROUTE 164;ROUTE 164;0;Brasil;Rio de Janeiro;Rio de Janeiro;Jacarepaguá;;Estrada dos Bandeirantes;3715;- de 3193 a 4935 - lado ímpar;22775113;;;;;;;;;;;;;;;;;
216454849;DAVI SUSPENSÕES;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
36598741;CASTROL ILHA;CASTROL ILHA;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;ILHA DO GOVERNADOR;RUA;SARGENTO JOÃO LOPES;710;LOJA;21931420;;2133933637;;;;;;;;;;;;;;;
1457896525;ALEXANDRO CARCACEIRO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
2587946;GP3 ILHA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
32.779.323/0001-11;RODA LIMPA PNEUS (ALEXANDRE IRMÃO DO KIKO) - 0103;RODA LIMPA PNEUS (ALEXANDRE IRMÃO DO KIKO) - 0103;1;Brasil;RIO DE JANEIRO;NOVA IGUAÇÚ;JARDIM IGUAÇÚ;RUA;PROFESSOR HELENO CLAUDIO FRAGOSO;207;;26282011;21964272649;;rodalimpa@hotmail.com;;;;;;;;;;;;;;
212454879;ABC SANTA CRUZ;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
32567941;GP3 MARACANÃ;GP3 MARACANÃ;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
3265478910;3 IRMÃOS SANTA CRUZ;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
32165496;FELIPE NEW CAR  KIKO'S;FELIPE NEW CAR  KIKO'S;1;Brasil;RIO DE JANEIRO;DUQUE DE CAXIAS;POSSE;RUO;RUA MARTINIANO DE ALENCAR;982;LOJA;25225320;;;;;;;;;;;;;;;;;
215469830;ADISON (MINEIRO);ADISON (MINEIRO);0;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
09563246;RAFAEL MACEDO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
65432975;BATATA CARCACEIRO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
326547891;HOLLYCAR AUTO CENTER;HOLLYCAR AUTO CENTER;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
32179864;LEO GUADALUPE;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
98763145;CARREFOUR BELFORD ROXO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
31.967.252/0001-18000;DIOGO DE OLIVEIRA BRITO | GETÚLIO;DIOGO DE OLIVEIRA BRITO | GETÚLIO;1;Brasil;Rio de Janeiro;RIO DE JANEIRO;VARGEM PEQUENA;ESTRADA;ESTRADA DOS BANDEIRANTES;11609;;22783117;;;;;;;;;;;;;;;;;
165666656;MOANDI AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
32164899546;CASA GRANDE (vilar dos teles);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
9865731;MAX PNEUS H PNEUS DUQUE DE CAXIAS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
3256984;GM OLIVEIRA PEÇAS E ACESSÓRIOS MECÂNICA ME;;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;TAQUARA;RUA;ANDRE DA ROCHA;2434;LOJA;22710568;;;;;;;;;;;;;;;;;
05186955736;ZOCAR AUTO CENTER;ZOCAR AUTO CENTER;1;Brasil;RJ;RIO DE JANEIRO;JARDIM AMÉRICA;RUA;MARECHAL ANTONIO SOUZA;812;LOJA;21240430;;;;;;;;;;;;;;;;;
188118418484;BORRACHARIA DO BOLINHO;BORRACHARIA DO BOLINHO;1;Brasil;RIO DE JANEIRO;;;RUO;RUA MARTINIANO DE ALENCAR;;;25225320;;;;;;;;;;;;;;;;;
3216497520;CALAD PORTO SEGURO;;1;Brasil;RIO DE JANEIRO;DUQUE DE CAXIAS;;RUO;RUA MARTINIANO DE ALENCAR;29;;25225320;;;;;;;;;;;;;;;;;
1111111111;Renam;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
12345678;SR Jaime;SR.Jaime;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
1323659874;PLATAFORMA AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
321654;PEPE CENTRO AUTOMOTIVO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
2546701;dudacar paty de alferes;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
2584846865456;SÃO LOURENÇO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
00001580;PNEUS MOTORS CARREFOUR;PNEUS MOTORS CARREFOUR;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
9865324569;ALVORADA TAXIS LTDA;ALVORADA TAXIS LTDA;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
32657941230;SIRI (RICARDO DE ALBUQUERQUE);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
31.967.252/0001-18445;AUTOBR | NOVA ELITE II;AUTOBR | NOVA ELITE II;1;Brasil;;;;;;;;21032025;21982225262;;;;;;;;;;;;;;;;
32656014;SIVEL SULACAP;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
345621;ROMERO AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
365147;C A FUTURA;;1;Brasil;RIO DE JANEIRO;MESQUITA;EDSON PASSOS;RUA;PRESIDENTE COSTA E SILVA;775;;26584001;;;;;;;;;;;;;;;;;
0000000;marquinho detran;;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;ramos;RUO;rua taci;75;a;21031650;21986926147;;;;;;;;;;;;;;;;
5115656445;FULL PNEUS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
51551515151515;HM MATIAS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
41515115;OPTIMAR CAR (VITOR);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
31456;MOOV BARRA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
326985;ABC JACAREPAGUA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
321123;OEST CAR MICHELLIN CAMPO GRANDE;;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;CAMPO GRANDE;ESTRADA;ESTRADA DO MONTEIRO;1633;LOJA;23351000;;;;;;;;;;;;;;;;;
5141561615161;CLÁUDIO MELANDRE BARJA;CLÁUDIO MELANDRE BARJA;1;Brasil;RIO DE JANEIRO;DUQUE DE CAXIAS;;RUO;RUA MARTINIANO DE ALENCAR;;;25225320;;;;;;;;;;;;;;;;;
957643;FORTE SUSPENSÕES BANGU;;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;BANGU;AVENIDA;SANTA CRUZ;6667;LOJA;;;;;;;;;;;;;;;;;;
53324677000141;REINALDO LUIZ BARRETO CABRAL;REINALDO LUIZ BARRETO CABRAL;1;Brasil;Rio de Janeiro;SÃO JOAO DE MERITI;PARQUE SÃO NICOLAU;RUA;JESUINO DE ANDRADE;175;;25530032;21988886294;;;;;;;;;;;;;;;;
951753;PORTA (CARCAÇA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
21967790806;AUTO MONUMENTAL;AUTO MONUMENTAL;1;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;paciência;RUA;ESTRADA SANTA EUGENIA;1998;LOJA;23520560;21967790806;;auto.monumental10@gmail.com;;;;;;;;;;;;;;
111511511515;ALPHA MOLAS TIGRE;ALPHA MOLAS TIGRE;1;Brasil;RIO DE JANEIRO;;;RUO;RUA MARTINIANO DE ALENCAR;;;25225320;;;;;;;;;;;;;;;;;
0002;PIREMAXX BAURU;;1;Brasil;RIO  DE JANEIRO;;;RUA;SIDNEY MULLER;;;21941060;;;;;;;;;;;;;;;;;
0000005;BORRACHEIRO PARAZÃO (MARCELO DA SILVA BATISTA);BORRACHEIRO PARAZÃO;1;Brasil;RJ;Rio de Janeiro;São João de Meriti;;AVENIDA AUTOMOVEL CLUBE;2140;;25260000;;;;;;;;;;;;;;;;;
15615616516;VINICIU BORRACHEIRO (luiz de lemos);VINICIU BORRACHEIRO (luiz de lemos);1;Brasil;RIO DE JANEIRO;;;RUO;RUA MARTINIANO DE ALENCAR;;;25225320;;;;;;;;;;;;;;;;;
+849+48489+44;NEI VEÍCULOS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
326598;EQUIPAR AUTO CENTER;;1;Brasil;RIO DE JANEIRO;ITAGUAI;;AVENIDA;OCTÁVIO CABRAL, 1150, 26882264 - Brasil.;1150;LOJA;26882264;;;;;;;;;;;;;;;;;
32454698;PNEUS 10 AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
2589645;CAFUNDA CENTRO AUTOMOTIVO;CAFUNDA CENTRO AUTOMOTIVO;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
00000002;OUTO CENTER SÃO JENUARIO;MGVSERVISOS;0;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;SÃO CRISTOVÃO;RUO;SÃO JENUARIO/VASCO DA GAMA;817;;20921004;;2122630098;;;;;;;;;;;;;;;
232656400964;BIG TIJUCA;BIG TIJUCA;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
98456;CM AUTOMOTIVA PNEUS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
4125552;GR GARAGE AUTO SERVICE;GR GARAGE AUTO SERVICE;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
2654400326494;ANTONIO OLIVEIRA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
654789987;Borracharia Lucas e Nelson;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024203;DIEGO (JORGINHO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024297;GEAN;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024483;NOVA UNIÃO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024043;ARIENE;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024044;ARILSON;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024366;JOSÉ CARLOS FERNANDES JUNIOR;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024377;JULIO PM (PORTA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024000;ALESSANDRO FRANCISCO DA SILVA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024091;BORRACHARIA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024009;ALEXANDRE  (irmão do kiko);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024382;KAUAN PNEUS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024020;AMAURI SEGURANÇA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024065;AUTO MECÂNICA CUNHA DE ROCHA MIRANDA LTDA - ME;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024066;AUTO MECÂNICA ROCHA E PEREZ;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024067;AUTOMOTIVO SPACE CAR (INHOAIBA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024076;BAIANO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024077;BARA RIO SOM ELETRÔNICA LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024078;BAZAR REI DE TRIBO DE JUDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024092;BORRACHARIA ALTA (ED WILSON FERNANDES DE OLIVEIRA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024383;KLEBER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024323;IMPERIO AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024222;E DOS SANTOS CENTRO AUTOMOTIVO (ELENIDO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024416;LUIZ CLAUDIO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024384;KLEBER MARICA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024116;BORRACHEIRO DO ABENÇOADO (SAN DIEGO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024517;POLICIA MILITAR;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024538;RENATO (AMIGO DO PAULISTA );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024539;RENATO PENHA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024132;CABEÇA PRIMO DO RONALDO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024324;IMPERIO DOS PNEUS  (PATRICK SOARES DIAS);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024329;ISRAEL DA CONCEIÇÃO ROSA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024540;RENATO PNEUS (CARCAÇA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024442;MARRECAR;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024550;RICARDO (VIZINHO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024582;SABASTIÃO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024583;SAFETY ASS. TÉCNICA E EQUIPAMENTOS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024522;P&S;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024600;SIMAR;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024601;SOARES HOME COMERCIO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024558;ROBSON RIBEIRO DE OLIVEIRA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024590;SÃO PEDRO BORRACHARIA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024592;SATURNO COMÉRCIO DE PEÇAS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77023991;ABOLISOM PEÇAS E ACESSÓRIOS ERIELLI;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77023989;3 IRMÃOS (MAXWEL);AUTO CENTER TRÊS IRMÃOS LTDA;1;Brasil;;;;;;;;;;2122324424;;;;;;;;;;;;;;;
77024242;FABINHO (CABEÇÃO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024204;DIEGO MIRANDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024314;HIDEAL CAR;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024316;HUMBERTO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024327;IRANILDO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024534;REBOQUE FIEL;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024557;ROBSON (AMIGO DO PAULISTA );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024617;TEMPLAR AUTO CENTER;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024118;BORRACHEIRO PORTELÃO LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024215;DUARTE;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024119;BORRACHEIRO ZÉ GRANDE ( JOSÉ PINTÃO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024264;(GARANTIA) ANDERSON;;0;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024265;(GARANTIA) ANDERSON VENDA ONLINE;;0;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024266;(GARANTIA) BFG AUTO CENTER;;0;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024267;(GARANTIA) BORRACHARIA INTENDENTE;;0;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024354;JOELIO VIERA MATOS ( JACK );;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024387;LCJ CENTRO AUTOMOTIVO LTDA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024395;LEANDRO (SEGURANÇA);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024396;LEANDRO VIZINHO;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024397;LEONANDO (AMIGO DO MARLON);;0;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024398;LEONAR;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024417;LUIZ CLAUDIO ( KAKINHO);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
77024437;MARCOS VIEIRA MATOS;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
